年份,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,卡尔玛比率,总交易次数,胜率,盈亏比,params
2013,-0.05729428411670234,-0.24461944795199064,0.10241109943745616,-2.388602888707225,0.07293518798381216,2013-10-18,2013-12-16,-3.3539290802442783,53.0,0.37735849056603776,0.5926843642419836,fct_product
2014,-0.18521020738309124,-0.18996455136518553,0.219131956972726,-0.8668957006066862,0.276732386399167,2014-02-28,2014-12-02,-0.6864557988206521,245.0,0.5020408163265306,0.8398081170620749,fct_product
2015,0.4386905570147346,0.4559506406781346,0.27152348004109783,1.679230984403713,0.24341385771488055,2015-03-12,2015-05-20,1.8731498894865963,244.0,0.4959016393442623,1.3475922790488497,fct_product
2016,0.4880757884832987,0.5075956939966211,0.3990430891290125,1.2720322888050644,0.29165414491094227,2016-06-30,2016-10-19,1.7404028122131348,244.0,0.5163934426229508,1.1828304980127464,fct_product
2017,0.8736625836453171,0.9126349404152212,0.368800955125692,2.4746002626381043,0.19417303608160857,2017-10-30,2017-12-11,4.7001116057723475,244.0,0.5122950819672131,1.3865061780595884,fct_product
2018,0.15773342028299053,0.16403072339044855,0.19857654309176756,0.8260327269099732,0.0976980001230235,2018-05-14,2018-07-27,1.6789568177843703,243.0,0.448559670781893,1.160144675732013,fct_product
2019,-0.15829163753877673,-0.16303378943843805,0.2685340602409894,-0.6071251791751382,0.38709368360365115,2019-05-07,2019-11-25,-0.4211739853791308,244.0,0.5040983606557377,0.9054096098978613,fct_product
2020,-0.14737107421657702,-0.15239088174767668,0.2608385142504491,-0.5842345873867217,0.30933170405716176,2020-01-09,2020-09-14,-0.4926455314761923,243.0,0.4444444444444444,0.8715009136532111,fct_product
2021,-0.187121945695223,-0.19333538589182964,0.4375840591955988,-0.44182456337014164,0.3755666705467631,2021-10-26,2021-12-24,-0.5147831292120922,243.0,0.48559670781893005,0.9214037233440333,fct_product
2022,-0.186777114665723,-0.1936952014753136,0.4444199592715633,-0.435838214361016,0.36486827316832554,2022-01-28,2022-04-25,-0.5308633710280305,242.0,0.4793388429752066,0.9113205776902349,fct_product
2023,0.08352036442819633,0.4441661394672374,0.2626657277853728,1.6909938849356498,0.05929048519459601,2023-01-13,2023-03-06,7.4913561258513806,55.0,0.4909090909090909,1.2912664321924627,fct_product
样本内,1.8237407363696954,0.18820073953890049,0.2927902717815371,0.6427834449340066,0.38709368360365104,2019-05-07,2019-11-25,0.48618912555442534,1517.0,0.4937376400791035,1.104850773777516,fct_product
样本外,-0.4038623264672321,-0.1533620215343402,0.38251367252451735,-0.40093213014368895,0.5284751894137416,2020-01-09,2022-04-25,-0.2901972024542358,783.0,0.4725415070242657,0.9151267887048059,fct_product
总体,0.7015084223411803,0.05996466704154879,0.3262102082027257,0.18382216599513437,0.6845439698339457,2019-05-07,2022-04-25,0.08759797717025367,2300.0,0.48695652173913045,1.0226473797237876,fct_product
